date,year,month,fiscalyear,business_area_code,school,emissions,trips
01-06-2018,2018,6,FY17-18,587,EMRS PROJECT,0.942893008,17
01-07-2018,2018,7,FY18-19,0,Unavailable,618.5046927,1643
01-07-2018,2018,7,FY18-19,101,University Administration,15.82294097,102
01-07-2018,2018,7,FY18-19,110,Homewood Student Affairs,8.128626641,75
01-07-2018,2018,7,FY18-19,115,Krieger School of Arts and Sciences,41.03227065,119
01-07-2018,2018,7,FY18-19,120,Whiting School of Engineering,18.9157036,53
01-07-2018,2018,7,FY18-19,125,School of Education,1.607556375,22
01-07-2018,2018,7,FY18-19,126,Carey Business School,1.672539536,7
01-07-2018,2018,7,FY18-19,130,Sheridan Libraries,0.096016235,2
01-07-2018,2018,7,FY18-19,135,PEABODY INSTITUTE,1.722127239,12
01-07-2018,2018,7,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,11.17905354,29
01-07-2018,2018,7,FY18-19,142,NANJING CENTER,0.386797111,2
01-07-2018,2018,7,FY18-19,160,Bloomberg School of Public Health,16.09924725,49
01-07-2018,2018,7,FY18-19,165,School of Nursing (SON),44.95420588,104
01-07-2018,2018,7,FY18-19,170,School of Medicine (SOM),69.50049954,233
01-07-2018,2018,7,FY18-19,212,CGEPI,0.674731465,2
01-07-2018,2018,7,FY18-19,215,CENTER FOR TALENTED YOUTH,10.14064333,39
01-07-2018,2018,7,FY18-19,235,JHPEIGO,85.18451803,169
01-07-2018,2018,7,FY18-19,251,JHU PRESS BOOK DIVISION,0.0512607,1
01-07-2018,2018,7,FY18-19,440,JH Community Physicians,1.770333911,4
01-07-2018,2018,7,FY18-19,450,JH HEALTH SYSTEM CORPORATION,20.43579474,56
01-07-2018,2018,7,FY18-19,480,Johns Hopkins Hospital,5.052001505,12
01-07-2018,2018,7,FY18-19,520,Johns Hopkins International,25.41253203,48
01-07-2018,2018,7,FY18-19,550,Johns Hopkins HealthCare,1.677925472,12
01-07-2018,2018,7,FY18-19,587,EMRS PROJECT,0.404287328,6
01-08-2018,2018,8,FY18-19,0,Unavailable,420.0786476,1078
01-08-2018,2018,8,FY18-19,101,University Administration,28.78018793,107
01-08-2018,2018,8,FY18-19,110,Homewood Student Affairs,5.761005304,53
01-08-2018,2018,8,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.195675363,4
01-08-2018,2018,8,FY18-19,115,Krieger School of Arts and Sciences,16.10615537,53
01-08-2018,2018,8,FY18-19,120,Whiting School of Engineering,18.83052663,47
01-08-2018,2018,8,FY18-19,125,School of Education,3.618868994,18
01-08-2018,2018,8,FY18-19,126,Carey Business School,0.158465819,2
01-08-2018,2018,8,FY18-19,135,PEABODY INSTITUTE,13.80926116,19
01-08-2018,2018,8,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,11.85865265,41
01-08-2018,2018,8,FY18-19,142,NANJING CENTER,1.280145483,2
01-08-2018,2018,8,FY18-19,160,Bloomberg School of Public Health,29.06615073,77
01-08-2018,2018,8,FY18-19,165,School of Nursing (SON),9.669077415,24
01-08-2018,2018,8,FY18-19,170,School of Medicine (SOM),97.14563064,237
01-08-2018,2018,8,FY18-19,190,JH TECHNOLOGY VENTURES,0.241471725,2
01-08-2018,2018,8,FY18-19,215,CENTER FOR TALENTED YOUTH,6.46399744,20
01-08-2018,2018,8,FY18-19,235,JHPEIGO,57.96425637,115
01-08-2018,2018,8,FY18-19,255,JHU PRESS MUSE,0.204782594,3
01-08-2018,2018,8,FY18-19,400,JH Bayview Medical Center,0.186828339,4
01-08-2018,2018,8,FY18-19,450,JH HEALTH SYSTEM CORPORATION,20.05611059,51
01-08-2018,2018,8,FY18-19,480,Johns Hopkins Hospital,11.20580267,23
01-08-2018,2018,8,FY18-19,520,Johns Hopkins International,4.316042033,13
01-08-2018,2018,8,FY18-19,550,Johns Hopkins HealthCare,2.297302968,14
01-08-2018,2018,8,FY18-19,555,JOHNS HOPKINS IMAGING LLC,0.186828339,4
01-08-2018,2018,8,FY18-19,587,EMRS PROJECT,1.162854039,17
01-09-2018,2018,9,FY18-19,0,Unavailable,185.3259838,730
01-09-2018,2018,9,FY18-19,101,University Administration,33.48361776,135
01-09-2018,2018,9,FY18-19,110,Homewood Student Affairs,23.1355045,132
01-09-2018,2018,9,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.198927946,2
01-09-2018,2018,9,FY18-19,115,Krieger School of Arts and Sciences,19.38717602,61
01-09-2018,2018,9,FY18-19,120,Whiting School of Engineering,20.86346822,64
01-09-2018,2018,9,FY18-19,125,School of Education,2.834897223,28
01-09-2018,2018,9,FY18-19,126,Carey Business School,1.291943181,10
01-09-2018,2018,9,FY18-19,135,PEABODY INSTITUTE,2.11390089,22
01-09-2018,2018,9,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,11.01215917,57
01-09-2018,2018,9,FY18-19,142,NANJING CENTER,4.345964389,16
01-09-2018,2018,9,FY18-19,160,Bloomberg School of Public Health,15.70119237,44
01-09-2018,2018,9,FY18-19,165,School of Nursing (SON),11.36789251,36
01-09-2018,2018,9,FY18-19,170,School of Medicine (SOM),101.9257992,324
01-09-2018,2018,9,FY18-19,215,CENTER FOR TALENTED YOUTH,7.072750059,27
01-09-2018,2018,9,FY18-19,235,JHPEIGO,81.75429118,168
01-09-2018,2018,9,FY18-19,400,JH Bayview Medical Center,2.191197069,24
01-09-2018,2018,9,FY18-19,450,JH HEALTH SYSTEM CORPORATION,13.59437793,44
01-09-2018,2018,9,FY18-19,480,Johns Hopkins Hospital,10.57156782,33
01-09-2018,2018,9,FY18-19,520,Johns Hopkins International,13.53177337,36
01-09-2018,2018,9,FY18-19,530,JHHCG CORP (GROUP),3.062077787,4
01-09-2018,2018,9,FY18-19,545,JHHCG HOME HEALTH SERVICES,3.062077787,4
01-09-2018,2018,9,FY18-19,550,Johns Hopkins HealthCare,2.276135549,13
01-09-2018,2018,9,FY18-19,587,EMRS PROJECT,0.912925162,16
01-09-2018,2018,9,FY18-19,650,All Children’s Hospital,0.530170948,4
01-10-2018,2018,10,FY18-19,0,Unavailable,156.6157663,650
01-10-2018,2018,10,FY18-19,100,INSTITUTION WIDE FUNDS,0.797793436,4
01-10-2018,2018,10,FY18-19,101,University Administration,37.77646771,158
01-10-2018,2018,10,FY18-19,110,Homewood Student Affairs,19.62719456,142
01-10-2018,2018,10,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.730269823,6
01-10-2018,2018,10,FY18-19,115,Krieger School of Arts and Sciences,39.51501083,142
01-10-2018,2018,10,FY18-19,120,Whiting School of Engineering,18.26391827,74
01-10-2018,2018,10,FY18-19,125,School of Education,2.349891303,14
01-10-2018,2018,10,FY18-19,126,Carey Business School,4.069752943,23
01-10-2018,2018,10,FY18-19,130,Sheridan Libraries,0.139080428,2
01-10-2018,2018,10,FY18-19,135,PEABODY INSTITUTE,3.664769476,40
01-10-2018,2018,10,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,14.22069977,67
01-10-2018,2018,10,FY18-19,141,BOLOGNA CENTER,1.429483705,4
01-10-2018,2018,10,FY18-19,142,NANJING CENTER,0.600191145,6
01-10-2018,2018,10,FY18-19,160,Bloomberg School of Public Health,20.47011162,84
01-10-2018,2018,10,FY18-19,165,School of Nursing (SON),2.869949076,23
01-10-2018,2018,10,FY18-19,170,School of Medicine (SOM),122.5465175,396
01-10-2018,2018,10,FY18-19,190,JH TECHNOLOGY VENTURES,0.801046018,7
01-10-2018,2018,10,FY18-19,210,BIOETHICS INSTITUTE,0.349067154,2
01-10-2018,2018,10,FY18-19,211,HUMAN LANGUAGE TECHNOLOGY COE,0.198586381,4
01-10-2018,2018,10,FY18-19,212,CGEPI,0.053082146,1
01-10-2018,2018,10,FY18-19,215,CENTER FOR TALENTED YOUTH,7.016625297,31
01-10-2018,2018,10,FY18-19,235,JHPEIGO,93.77645065,204
01-10-2018,2018,10,FY18-19,251,JHU PRESS BOOK DIVISION,0.823033476,8
01-10-2018,2018,10,FY18-19,255,JHU PRESS MUSE,0.569550785,10
01-10-2018,2018,10,FY18-19,400,JH Bayview Medical Center,5.493796232,12
01-10-2018,2018,10,FY18-19,430,JHBMC GRANT COMPANY,2.737343449,14
01-10-2018,2018,10,FY18-19,450,JH HEALTH SYSTEM CORPORATION,5.8184415,32
01-10-2018,2018,10,FY18-19,480,Johns Hopkins Hospital,7.816151235,27
01-10-2018,2018,10,FY18-19,520,Johns Hopkins International,11.19468827,24
01-10-2018,2018,10,FY18-19,550,Johns Hopkins HealthCare,2.252929039,17
01-10-2018,2018,10,FY18-19,587,EMRS PROJECT,0.422973051,8
01-10-2018,2018,10,FY18-19,600,Suburban Hospital,0.625926976,4
01-11-2018,2018,11,FY18-19,0,Unavailable,231.2422171,705
01-11-2018,2018,11,FY18-19,101,University Administration,29.9994508,153
01-11-2018,2018,11,FY18-19,110,Homewood Student Affairs,7.133624936,53
01-11-2018,2018,11,FY18-19,115,Krieger School of Arts and Sciences,27.98067845,94
01-11-2018,2018,11,FY18-19,120,Whiting School of Engineering,24.57652598,74
01-11-2018,2018,11,FY18-19,125,School of Education,5.452491027,60
01-11-2018,2018,11,FY18-19,126,Carey Business School,1.164164328,9
01-11-2018,2018,11,FY18-19,130,Sheridan Libraries,1.175739967,4
01-11-2018,2018,11,FY18-19,135,PEABODY INSTITUTE,3.142622354,24
01-11-2018,2018,11,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,29.82320702,79
01-11-2018,2018,11,FY18-19,160,Bloomberg School of Public Health,15.44465801,37
01-11-2018,2018,11,FY18-19,165,School of Nursing (SON),3.379173011,21
01-11-2018,2018,11,FY18-19,170,School of Medicine (SOM),85.63577604,291
01-11-2018,2018,11,FY18-19,190,JH TECHNOLOGY VENTURES,0.261117323,3
01-11-2018,2018,11,FY18-19,210,BIOETHICS INSTITUTE,0.349067154,2
01-11-2018,2018,11,FY18-19,212,CGEPI,1.490732046,2
01-11-2018,2018,11,FY18-19,215,CENTER FOR TALENTED YOUTH,10.96819518,47
01-11-2018,2018,11,FY18-19,235,JHPEIGO,117.0691772,211
01-11-2018,2018,11,FY18-19,251,JHU PRESS BOOK DIVISION,0.692409763,4
01-11-2018,2018,11,FY18-19,255,JHU PRESS MUSE,0.246155444,4
01-11-2018,2018,11,FY18-19,400,JH Bayview Medical Center,0.158465819,2
01-11-2018,2018,11,FY18-19,450,JH HEALTH SYSTEM CORPORATION,12.59307171,38
01-11-2018,2018,11,FY18-19,462,JHMMC INTRASTAFF DIVISION,0.774374842,4
01-11-2018,2018,11,FY18-19,480,Johns Hopkins Hospital,1.338485397,18
01-11-2018,2018,11,FY18-19,520,Johns Hopkins International,0.39076644,1
01-11-2018,2018,11,FY18-19,550,Johns Hopkins HealthCare,1.359438813,13
01-11-2018,2018,11,FY18-19,587,EMRS PROJECT,0.806198088,16
01-11-2018,2018,11,FY18-19,650,All Children’s Hospital,0.109286772,2
01-12-2018,2018,12,FY18-19,0,Unavailable,43.88034218,167
01-12-2018,2018,12,FY18-19,101,University Administration,16.83477729,94
01-12-2018,2018,12,FY18-19,110,Homewood Student Affairs,6.601209308,56
01-12-2018,2018,12,FY18-19,115,Krieger School of Arts and Sciences,15.69407288,66
01-12-2018,2018,12,FY18-19,120,Whiting School of Engineering,18.93689485,70
01-12-2018,2018,12,FY18-19,125,School of Education,5.467583216,35
01-12-2018,2018,12,FY18-19,130,Sheridan Libraries,1.072511675,2
01-12-2018,2018,12,FY18-19,135,PEABODY INSTITUTE,0.221933373,3
01-12-2018,2018,12,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,8.155418791,23
01-12-2018,2018,12,FY18-19,160,Bloomberg School of Public Health,8.922219559,37
01-12-2018,2018,12,FY18-19,165,School of Nursing (SON),2.828434579,6
01-12-2018,2018,12,FY18-19,170,School of Medicine (SOM),38.91083909,124
01-12-2018,2018,12,FY18-19,215,CENTER FOR TALENTED YOUTH,13.29285413,51
01-12-2018,2018,12,FY18-19,235,JHPEIGO,70.07056791,155
01-12-2018,2018,12,FY18-19,251,JHU PRESS BOOK DIVISION,0.096016235,2
01-12-2018,2018,12,FY18-19,430,JHBMC GRANT COMPANY,0.292602322,2
01-12-2018,2018,12,FY18-19,450,JH HEALTH SYSTEM CORPORATION,2.068772573,18
01-12-2018,2018,12,FY18-19,480,Johns Hopkins Hospital,1.842041251,9
01-12-2018,2018,12,FY18-19,520,Johns Hopkins International,0.389269074,8
01-12-2018,2018,12,FY18-19,550,Johns Hopkins HealthCare,0.463427955,8
01-12-2018,2018,12,FY18-19,587,EMRS PROJECT,0.862228962,16
01-12-2018,2018,12,FY18-19,650,All Children’s Hospital,0.257376563,4
01-01-2019,2019,1,FY18-19,0,Unavailable,343.2560565,1293
01-01-2019,2019,1,FY18-19,101,University Administration,23.89064446,119
01-01-2019,2019,1,FY18-19,110,Homewood Student Affairs,6.25241589,49
01-01-2019,2019,1,FY18-19,112,U-WIDE STUDENT AFFAIRS,1.192848669,2
01-01-2019,2019,1,FY18-19,115,Krieger School of Arts and Sciences,24.36092794,87
01-01-2019,2019,1,FY18-19,120,Whiting School of Engineering,14.49983755,44
01-01-2019,2019,1,FY18-19,125,School of Education,6.503944389,43
01-01-2019,2019,1,FY18-19,126,Carey Business School,5.820196816,14
01-01-2019,2019,1,FY18-19,135,PEABODY INSTITUTE,4.07347454,28
01-01-2019,2019,1,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,66.39263986,149
01-01-2019,2019,1,FY18-19,142,NANJING CENTER,2.51553543,4
01-01-2019,2019,1,FY18-19,160,Bloomberg School of Public Health,8.298697606,28
01-01-2019,2019,1,FY18-19,165,School of Nursing (SON),6.75034453,12
01-01-2019,2019,1,FY18-19,170,School of Medicine (SOM),50.11646486,185
01-01-2019,2019,1,FY18-19,215,CENTER FOR TALENTED YOUTH,5.862524253,17
01-01-2019,2019,1,FY18-19,235,JHPEIGO,36.61691709,63
01-01-2019,2019,1,FY18-19,251,JHU PRESS BOOK DIVISION,0.096016235,2
01-01-2019,2019,1,FY18-19,430,JHBMC GRANT COMPANY,0.218703647,2
01-01-2019,2019,1,FY18-19,450,JH HEALTH SYSTEM CORPORATION,4.317422587,38
01-01-2019,2019,1,FY18-19,480,Johns Hopkins Hospital,5.295196974,8
01-01-2019,2019,1,FY18-19,520,Johns Hopkins International,0.655330322,7
01-01-2019,2019,1,FY18-19,550,Johns Hopkins HealthCare,2.074336393,16
01-01-2019,2019,1,FY18-19,587,EMRS PROJECT,0.564648322,8
01-02-2019,2019,2,FY18-19,0,Unavailable,124.1325937,527
01-02-2019,2019,2,FY18-19,101,University Administration,32.56719709,156
01-02-2019,2019,2,FY18-19,110,Homewood Student Affairs,6.468995062,54
01-02-2019,2019,2,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.680830569,4
01-02-2019,2019,2,FY18-19,115,Krieger School of Arts and Sciences,12.39306106,58
01-02-2019,2019,2,FY18-19,120,Whiting School of Engineering,15.20446024,47
01-02-2019,2019,2,FY18-19,125,School of Education,3.815414218,23
01-02-2019,2019,2,FY18-19,126,Carey Business School,0.799224572,5
01-02-2019,2019,2,FY18-19,135,PEABODY INSTITUTE,0.584944437,6
01-02-2019,2019,2,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,17.95863548,58
01-02-2019,2019,2,FY18-19,142,NANJING CENTER,2.51553543,4
01-02-2019,2019,2,FY18-19,160,Bloomberg School of Public Health,28.59536928,99
01-02-2019,2019,2,FY18-19,165,School of Nursing (SON),1.415085344,9
01-02-2019,2019,2,FY18-19,170,School of Medicine (SOM),41.75552627,194
01-02-2019,2019,2,FY18-19,190,JH TECHNOLOGY VENTURES,1.500069535,13
01-02-2019,2019,2,FY18-19,215,CENTER FOR TALENTED YOUTH,3.317266609,14
01-02-2019,2019,2,FY18-19,235,JHPEIGO,96.79361255,198
01-02-2019,2019,2,FY18-19,251,JHU PRESS BOOK DIVISION,0.207644867,4
01-02-2019,2019,2,FY18-19,255,JHU PRESS MUSE,0.52080351,4
01-02-2019,2019,2,FY18-19,400,JH Bayview Medical Center,1.09442896,4
01-02-2019,2019,2,FY18-19,450,JH HEALTH SYSTEM CORPORATION,3.569068405,27
01-02-2019,2019,2,FY18-19,480,Johns Hopkins Hospital,0.637376067,4
01-02-2019,2019,2,FY18-19,550,Johns Hopkins HealthCare,2.830526883,24
01-02-2019,2019,2,FY18-19,587,EMRS PROJECT,0.76886307,11
01-02-2019,2019,2,FY18-19,650,All Children’s Hospital,0.318492878,4
01-03-2019,2019,3,FY18-19,0,Unavailable,374.1997162,1487
01-03-2019,2019,3,FY18-19,101,University Administration,33.14199673,153
01-03-2019,2019,3,FY18-19,110,Homewood Student Affairs,16.04760799,133
01-03-2019,2019,3,FY18-19,112,U-WIDE STUDENT AFFAIRS,1.908355204,12
01-03-2019,2019,3,FY18-19,115,Krieger School of Arts and Sciences,20.86920305,98
01-03-2019,2019,3,FY18-19,120,Whiting School of Engineering,14.85341964,76
01-03-2019,2019,3,FY18-19,125,School of Education,4.016219219,18
01-03-2019,2019,3,FY18-19,126,Carey Business School,26.70039057,34
01-03-2019,2019,3,FY18-19,135,PEABODY INSTITUTE,1.446738564,20
01-03-2019,2019,3,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,44.92843411,120
01-03-2019,2019,3,FY18-19,160,Bloomberg School of Public Health,20.45085923,59
01-03-2019,2019,3,FY18-19,165,School of Nursing (SON),7.281683338,23
01-03-2019,2019,3,FY18-19,170,School of Medicine (SOM),101.0937845,327
01-03-2019,2019,3,FY18-19,190,JH TECHNOLOGY VENTURES,0.27360724,1
01-03-2019,2019,3,FY18-19,215,CENTER FOR TALENTED YOUTH,30.37181145,85
01-03-2019,2019,3,FY18-19,235,JHPEIGO,85.35236347,176
01-03-2019,2019,3,FY18-19,251,JHU PRESS BOOK DIVISION,0.484504689,2
01-03-2019,2019,3,FY18-19,400,JH Bayview Medical Center,0.393284922,8
01-03-2019,2019,3,FY18-19,440,JH Community Physicians,0.205303007,2
01-03-2019,2019,3,FY18-19,450,JH HEALTH SYSTEM CORPORATION,4.176110125,45
01-03-2019,2019,3,FY18-19,480,Johns Hopkins Hospital,4.891452397,21
01-03-2019,2019,3,FY18-19,540,JHHCG PHARMAQUIP,0.410606015,4
01-03-2019,2019,3,FY18-19,550,Johns Hopkins HealthCare,3.68097111,18
01-03-2019,2019,3,FY18-19,587,EMRS PROJECT,0.373656678,8
01-03-2019,2019,3,FY18-19,600,Suburban Hospital,0.106164293,1
01-03-2019,2019,3,FY18-19,630,Sibley Memorial Hospital,1.74988729,12
01-03-2019,2019,3,FY18-19,650,All Children’s Hospital,0.255002468,4
01-04-2019,2019,4,FY18-19,0,Unavailable,235.3089848,1273
01-04-2019,2019,4,FY18-19,101,University Administration,28.71159882,155
01-04-2019,2019,4,FY18-19,110,Homewood Student Affairs,18.54772701,85
01-04-2019,2019,4,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.966449288,7
01-04-2019,2019,4,FY18-19,115,Krieger School of Arts and Sciences,15.62828827,77
01-04-2019,2019,4,FY18-19,120,Whiting School of Engineering,12.45667933,64
01-04-2019,2019,4,FY18-19,125,School of Education,3.032449003,31
01-04-2019,2019,4,FY18-19,126,Carey Business School,1.513387704,8
01-04-2019,2019,4,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,21.26668361,93
01-04-2019,2019,4,FY18-19,142,NANJING CENTER,0.103822433,2
01-04-2019,2019,4,FY18-19,160,Bloomberg School of Public Health,16.98437682,84
01-04-2019,2019,4,FY18-19,165,School of Nursing (SON),2.365052556,20
01-04-2019,2019,4,FY18-19,170,School of Medicine (SOM),57.98046779,287
01-04-2019,2019,4,FY18-19,212,CGEPI,0.732339085,3
01-04-2019,2019,4,FY18-19,215,CENTER FOR TALENTED YOUTH,20.2638676,61
01-04-2019,2019,4,FY18-19,235,JHPEIGO,79.30854554,161
01-04-2019,2019,4,FY18-19,251,JHU PRESS BOOK DIVISION,0.096016235,2
01-04-2019,2019,4,FY18-19,255,JHU PRESS MUSE,0.0670032,1
01-04-2019,2019,4,FY18-19,400,JH Bayview Medical Center,0.093934583,2
01-04-2019,2019,4,FY18-19,440,JH Community Physicians,0.76476461,2
01-04-2019,2019,4,FY18-19,450,JH HEALTH SYSTEM CORPORATION,5.247213781,47
01-04-2019,2019,4,FY18-19,480,Johns Hopkins Hospital,1.104973268,11
01-04-2019,2019,4,FY18-19,550,Johns Hopkins HealthCare,3.482227642,28
01-04-2019,2019,4,FY18-19,555,JOHNS HOPKINS IMAGING LLC,0.908614074,2
01-04-2019,2019,4,FY18-19,587,EMRS PROJECT,0.840727525,18
01-04-2019,2019,4,FY18-19,600,Suburban Hospital,0.106164293,1
01-04-2019,2019,4,FY18-19,630,Sibley Memorial Hospital,3.559305078,32
01-04-2019,2019,4,FY18-19,640,Howard County General Hospital,0.046967291,1
01-04-2019,2019,4,FY18-19,650,All Children’s Hospital,0.318492878,4
01-05-2019,2019,5,FY18-19,0,Unavailable,331.3749324,1169
01-05-2019,2019,5,FY18-19,100,INSTITUTION WIDE FUNDS,1.711435664,8
01-05-2019,2019,5,FY18-19,101,University Administration,21.73049989,150
01-05-2019,2019,5,FY18-19,110,Homewood Student Affairs,22.26468591,134
01-05-2019,2019,5,FY18-19,115,Krieger School of Arts and Sciences,25.90112818,90
01-05-2019,2019,5,FY18-19,120,Whiting School of Engineering,26.39405568,90
01-05-2019,2019,5,FY18-19,125,School of Education,2.879741745,22
01-05-2019,2019,5,FY18-19,126,Carey Business School,2.210290052,11
01-05-2019,2019,5,FY18-19,130,Sheridan Libraries,1.178215485,8
01-05-2019,2019,5,FY18-19,135,PEABODY INSTITUTE,0.38952928,6
01-05-2019,2019,5,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,22.40002085,85
01-05-2019,2019,5,FY18-19,141,BOLOGNA CENTER,0.174218104,4
01-05-2019,2019,5,FY18-19,160,Bloomberg School of Public Health,10.28123687,46
01-05-2019,2019,5,FY18-19,165,School of Nursing (SON),3.973874609,9
01-05-2019,2019,5,FY18-19,170,School of Medicine (SOM),66.01929507,355
01-05-2019,2019,5,FY18-19,190,JH TECHNOLOGY VENTURES,0.482683243,4
01-05-2019,2019,5,FY18-19,211,HUMAN LANGUAGE TECHNOLOGY COE,1.192848669,2
01-05-2019,2019,5,FY18-19,212,CGEPI,0.426227117,2
01-05-2019,2019,5,FY18-19,215,CENTER FOR TALENTED YOUTH,9.679037614,39
01-05-2019,2019,5,FY18-19,235,JHPEIGO,73.5496836,160
01-05-2019,2019,5,FY18-19,251,JHU PRESS BOOK DIVISION,0.096016235,2
01-05-2019,2019,5,FY18-19,255,JHU PRESS MUSE,0.0670032,1
01-05-2019,2019,5,FY18-19,400,JH Bayview Medical Center,0.373656678,8
01-05-2019,2019,5,FY18-19,440,JH Community Physicians,0.158465819,2
01-05-2019,2019,5,FY18-19,450,JH HEALTH SYSTEM CORPORATION,7.158474545,68
01-05-2019,2019,5,FY18-19,480,Johns Hopkins Hospital,1.43896801,21
01-05-2019,2019,5,FY18-19,550,Johns Hopkins HealthCare,3.581035812,30
01-05-2019,2019,5,FY18-19,555,JOHNS HOPKINS IMAGING LLC,0.914464817,2
01-05-2019,2019,5,FY18-19,587,EMRS PROJECT,3.452254323,54
01-05-2019,2019,5,FY18-19,630,Sibley Memorial Hospital,0.74808425,8
01-05-2019,2019,5,FY18-19,640,Howard County General Hospital,0.199448359,3
01-05-2019,2019,5,FY18-19,650,All Children’s Hospital,0.23418594,3
01-06-2019,2019,6,FY18-19,0,Unavailable,417.792687,1324
01-06-2019,2019,6,FY18-19,101,University Administration,42.79483506,193
01-06-2019,2019,6,FY18-19,110,Homewood Student Affairs,18.47238799,151
01-06-2019,2019,6,FY18-19,112,U-WIDE STUDENT AFFAIRS,0.695662345,6
01-06-2019,2019,6,FY18-19,115,Krieger School of Arts and Sciences,42.68910936,168
01-06-2019,2019,6,FY18-19,120,Whiting School of Engineering,34.38761152,99
01-06-2019,2019,6,FY18-19,125,School of Education,6.081683261,38
01-06-2019,2019,6,FY18-19,126,Carey Business School,2.127184358,9
01-06-2019,2019,6,FY18-19,130,Sheridan Libraries,0.658072384,1
01-06-2019,2019,6,FY18-19,135,PEABODY INSTITUTE,21.34918787,42
01-06-2019,2019,6,FY18-19,140,NITZE SCH ADV INT STUDIES-SAIS,24.9822326,83
01-06-2019,2019,6,FY18-19,142,NANJING CENTER,3.725493348,9
01-06-2019,2019,6,FY18-19,160,Bloomberg School of Public Health,25.65390204,102
01-06-2019,2019,6,FY18-19,165,School of Nursing (SON),4.687576323,28
01-06-2019,2019,6,FY18-19,170,School of Medicine (SOM),61.46182785,275
01-06-2019,2019,6,FY18-19,212,CGEPI,1.292969956,6
01-06-2019,2019,6,FY18-19,215,CENTER FOR TALENTED YOUTH,20.42421336,55
01-06-2019,2019,6,FY18-19,235,JHPEIGO,89.55677041,196
01-06-2019,2019,6,FY18-19,251,JHU PRESS BOOK DIVISION,1.155990525,7
01-06-2019,2019,6,FY18-19,400,JH Bayview Medical Center,0.431422543,7
01-06-2019,2019,6,FY18-19,440,JH Community Physicians,0.134006399,2
01-06-2019,2019,6,FY18-19,450,JH HEALTH SYSTEM CORPORATION,3.011649496,20
01-06-2019,2019,6,FY18-19,480,Johns Hopkins Hospital,2.610610122,15
01-06-2019,2019,6,FY18-19,550,Johns Hopkins HealthCare,2.771998322,13
01-06-2019,2019,6,FY18-19,587,EMRS PROJECT,0.373656678,8
01-06-2019,2019,6,FY18-19,630,Sibley Memorial Hospital,0.815227278,6
01-06-2019,2019,6,FY18-19,650,All Children’s Hospital,0.393432379,5
01-07-2019,2019,7,FY19-20,0,Unavailable,453.7936947,1085
01-07-2019,2019,7,FY19-20,101,University Administration,19.88394599,105
01-07-2019,2019,7,FY19-20,110,Homewood Student Affairs,16.01215841,118
01-07-2019,2019,7,FY19-20,112,U-WIDE STUDENT AFFAIRS,2.008552761,9
01-07-2019,2019,7,FY19-20,115,Krieger School of Arts and Sciences,37.75097341,143
01-07-2019,2019,7,FY19-20,120,Whiting School of Engineering,15.7922882,58
01-07-2019,2019,7,FY19-20,125,School of Education,4.829230178,31
01-07-2019,2019,7,FY19-20,126,Carey Business School,1.375725283,11
01-07-2019,2019,7,FY19-20,130,Sheridan Libraries,0.764625766,3
01-07-2019,2019,7,FY19-20,135,PEABODY INSTITUTE,5.311152302,20
01-07-2019,2019,7,FY19-20,140,NITZE SCH ADV INT STUDIES-SAIS,19.00656147,56
01-07-2019,2019,7,FY19-20,141,BOLOGNA CENTER,0.721915839,2
01-07-2019,2019,7,FY19-20,142,NANJING CENTER,4.785377758,7
01-07-2019,2019,7,FY19-20,160,Bloomberg School of Public Health,15.95212732,48
01-07-2019,2019,7,FY19-20,165,School of Nursing (SON),15.00098996,67
01-07-2019,2019,7,FY19-20,170,School of Medicine (SOM),88.14771774,247
01-07-2019,2019,7,FY19-20,210,BIOETHICS INSTITUTE,0.170175116,4
01-07-2019,2019,7,FY19-20,212,CGEPI,0.746303336,3
01-07-2019,2019,7,FY19-20,215,CENTER FOR TALENTED YOUTH,12.69323836,42
01-07-2019,2019,7,FY19-20,235,JHPEIGO,87.48801508,205
01-07-2019,2019,7,FY19-20,251,JHU PRESS BOOK DIVISION,0.59886549,3
01-07-2019,2019,7,FY19-20,400,JH Bayview Medical Center,0.186828339,4
01-07-2019,2019,7,FY19-20,440,JH Community Physicians,1.494677522,3
01-07-2019,2019,7,FY19-20,450,JH HEALTH SYSTEM CORPORATION,5.983522054,52
01-07-2019,2019,7,FY19-20,480,Johns Hopkins Hospital,10.64866876,48
01-07-2019,2019,7,FY19-20,520,Johns Hopkins International,0.539017972,5
